Region,Country,Item Type
Sub-Saharan Africa,Mauritania,Household
Europe,Finland,Beverages
Australia and Oceania,East Timor,Fruits
Asia,Indonesia,Household
Europe,United Kingdom,Cosmetics
Asia,Turkmenistan,Personal Care
Asia,Bhutan,Clothes
Middle East and North Africa,Iraq,Vegetables
Asia,Malaysia,Baby Food
Australia and Oceania,Tuvalu,Fruits
Central America and the Caribbean,Saint Kitts and Nevis ,Household
Central America and the Caribbean,Guatemala,Personal Care
Sub-Saharan Africa,Sudan,Vegetables
Europe,Estonia,Cereal
Middle East and North Africa,Qatar,Fruits
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care
Europe,Georgia,Office Supplies
Central America and the Caribbean,Barbados,Office Supplies
Middle East and North Africa,Iraq,Personal Care
Australia and Oceania,Australia,Household
Sub-Saharan Africa,Swaziland,Office Supplies
Asia,Myanmar,Fruits
Sub-Saharan Africa,Uganda,Baby Food
Central America and the Caribbean,Honduras,Beverages
Sub-Saharan Africa,Togo,Personal Care
Europe,Bulgaria,Baby Food
Sub-Saharan Africa,Malawi,Clothes
Middle East and North Africa,Oman,Clothes
Sub-Saharan Africa,Lesotho,Cereal
Central America and the Caribbean,Saint Kitts and Nevis ,Snacks
Europe,Armenia,Baby Food
Asia,Thailand,Cosmetics
Australia and Oceania,New Zealand,Fruits
Europe,San Marino,Baby Food
Sub-Saharan Africa,Ethiopia,Beverages
Sub-Saharan Africa,Ethiopia,Meat
Sub-Saharan Africa,Namibia,Fruits
Middle East and North Africa,Saudi Arabia,Personal Care
Central America and the Caribbean,Haiti,Clothes
Europe,Slovenia,Beverages
Sub-Saharan Africa,Liberia,Vegetables
Europe,Cyprus,Beverages
Europe,Andorra,Clothes
Sub-Saharan Africa,Ghana,Household
Middle East and North Africa,Turkey,Personal Care
Asia,Turkmenistan,Cosmetics
Middle East and North Africa,Algeria,Cosmetics
Australia and Oceania,Papua New Guinea,Baby Food
Central America and the Caribbean,Panama,Office Supplies
Asia,Mongolia,Personal Care
Central America and the Caribbean,Panama,Cosmetics
Europe,Ukraine,Cereal
Europe,Denmark,Beverages
Central America and the Caribbean,Costa Rica,Office Supplies
Asia,Vietnam,Beverages
Sub-Saharan Africa,Mali,Cosmetics
Sub-Saharan Africa,Ethiopia,Fruits
Asia,Cambodia,Snacks
Asia,Malaysia,Clothes
Middle East and North Africa,Turkey,Meat
Europe,Belarus,Snacks
Sub-Saharan Africa,Mauritius ,Cereal
Sub-Saharan Africa,Niger,Snacks
Middle East and North Africa,Turkey,Fruits
Europe,Iceland,Clothes
Europe,Ireland,Vegetables
Sub-Saharan Africa,Nigeria,Vegetables
Middle East and North Africa,Qatar,Personal Care
Europe,Liechtenstein,Cosmetics
Asia,Singapore,Snacks
Europe,Slovakia,Meat
Central America and the Caribbean,Belize,Snacks
Sub-Saharan Africa,Guinea,Office Supplies
Europe,Luxembourg,Snacks
Middle East and North Africa,Israel,Household
Sub-Saharan Africa,Burundi,Cosmetics
Sub-Saharan Africa,Togo,Clothes
Sub-Saharan Africa,Cape Verde,Meat
Europe,Estonia,Beverages
Australia and Oceania,Tonga,Clothes
Middle East and North Africa,Israel,Fruits
Europe,Greece,Cosmetics
Europe,Germany,Meat
Sub-Saharan Africa,South Sudan,Snacks
Asia,Indonesia,Cosmetics
Sub-Saharan Africa,Namibia,Snacks
Central America and the Caribbean,Saint Lucia,Personal Care
Sub-Saharan Africa,Guinea,Clothes
Sub-Saharan Africa,Seychelles ,Snacks
Europe,Slovenia,Beverages
Central America and the Caribbean,Haiti,Meat
Asia,South Korea,Personal Care
Asia,Laos,Vegetables
Sub-Saharan Africa,Ghana,Personal Care
Central America and the Caribbean,Trinidad and Tobago,Office Supplies
Middle East and North Africa,Azerbaijan,Personal Care
Asia,South Korea,Beverages
Asia,Kazakhstan,Baby Food
Middle East and North Africa,Jordan,Personal Care
Europe,Russia,Baby Food
Middle East and North Africa,Somalia,Snacks
Sub-Saharan Africa,Eritrea,Office Supplies
Central America and the Caribbean,Jamaica,Cereal
Europe,Lithuania,Baby Food
Asia,Cambodia,Vegetables
Middle East and North Africa,Yemen,Cereal
Europe,Georgia,Vegetables
Europe,Hungary,Snacks
Sub-Saharan Africa,Malawi,Personal Care
Asia,China,Cosmetics
Sub-Saharan Africa,Liberia,Office Supplies
Sub-Saharan Africa,Guinea,Clothes
Australia and Oceania,Vanuatu,Snacks
Europe,Luxembourg,Beverages
Europe,Finland,Personal Care
Asia,Bhutan,Beverages
Asia,Bhutan,Fruits
Sub-Saharan Africa,Sao Tome and Principe,Personal Care
Europe,Macedonia,Cereal
Europe,Slovakia,Personal Care
Middle East and North Africa,Syria,Cereal
Sub-Saharan Africa,Djibouti,Vegetables
Europe,Luxembourg,Cereal
Central America and the Caribbean,Nicaragua,Baby Food
Asia,Singapore,Personal Care
Europe,Russia,Office Supplies
Sub-Saharan Africa,Eritrea,Snacks
Sub-Saharan Africa,Mozambique,Fruits
Asia,Bangladesh,Beverages
Europe,San Marino,Baby Food
Sub-Saharan Africa,Mauritania,Personal Care
Europe,Serbia,Household
Europe,Finland,Vegetables
Middle East and North Africa,Afghanistan,Vegetables
Asia,China,Meat
Asia,Brunei,Meat
North America,Canada,Cereal
Sub-Saharan Africa,Swaziland,Household
Sub-Saharan Africa,Liberia,Snacks
Sub-Saharan Africa,Mozambique,Beverages
Australia and Oceania,Samoa ,Fruits
Asia,Taiwan,Cosmetics
Europe,Switzerland,Clothes
Europe,Croatia,Cereal
Asia,Maldives,Fruits
Middle East and North Africa,Qatar,Cereal
Central America and the Caribbean,El Salvador,Meat
Sub-Saharan Africa,Togo,Fruits
Middle East and North Africa,Syria,Cosmetics
Central America and the Caribbean,Panama,Personal Care
Europe,Norway,Vegetables
Australia and Oceania,Solomon Islands,Clothes
Sub-Saharan Africa,Swaziland,Fruits
Sub-Saharan Africa,Equatorial Guinea,Baby Food
Europe,Serbia,Meat
Australia and Oceania,Palau,Household
Europe,Luxembourg,Household
Australia and Oceania,Federated States of Micronesia,Meat
Asia,Nepal,Cereal
Middle East and North Africa,Turkey,Fruits
Middle East and North Africa,Oman,Clothes
Sub-Saharan Africa,Botswana,Fruits
Sub-Saharan Africa,Central African Republic,Office Supplies
Middle East and North Africa,United Arab Emirates,Household
Sub-Saharan Africa,Republic of the Congo,Household
Europe,Croatia,Meat
Sub-Saharan Africa,Cape Verde,Household
Europe,Italy,Fruits
Europe,Bulgaria,Personal Care
Europe,Andorra,Meat
Europe,Slovenia,Cereal
Asia,Japan,Fruits
Europe,Luxembourg,Clothes
Australia and Oceania,Samoa ,Office Supplies
Europe,Spain,Beverages
Central America and the Caribbean,Nicaragua,Household
Europe,Malta,Office Supplies
Sub-Saharan Africa,Mali,Meat
Asia,Taiwan,Fruits
Central America and the Caribbean,The Bahamas,Beverages
Sub-Saharan Africa,Ethiopia,Snacks
Middle East and North Africa,Israel,Beverages
Sub-Saharan Africa,Gabon,Office Supplies
Middle East and North Africa,Saudi Arabia,Cosmetics
Sub-Saharan Africa,Malawi,Cosmetics
Europe,Switzerland,Baby Food
Sub-Saharan Africa,Mauritius ,Household
Asia,Kyrgyzstan,Personal Care
Australia and Oceania,Solomon Islands,Personal Care
Middle East and North Africa,Jordan,Beverages
Sub-Saharan Africa,Republic of the Congo,Cereal
Europe,Norway,Meat
Sub-Saharan Africa,Cape Verde,Vegetables
Central America and the Caribbean,Panama,Snacks
Sub-Saharan Africa,Sao Tome and Principe,Cereal
Sub-Saharan Africa,Malawi,Baby Food
Europe,Georgia,Clothes
Middle East and North Africa,Syria,Baby Food
Central America and the Caribbean,Nicaragua,Household
Europe,Vatican City,Vegetables
Europe,Germany,Beverages
Europe,Monaco,Personal Care
Europe,Portugal,Cosmetics
Asia,China,Snacks
Asia,Taiwan,Cereal
Central America and the Caribbean,Grenada,Beverages
Sub-Saharan Africa,Ethiopia,Snacks
Sub-Saharan Africa,Comoros,Personal Care
Asia,Indonesia,Office Supplies
Middle East and North Africa,Algeria,Cosmetics
Sub-Saharan Africa,Togo,Clothes
Australia and Oceania,Tonga,Beverages
Europe,United Kingdom,Vegetables
Europe,Spain,Personal Care
Europe,Cyprus,Vegetables
Middle East and North Africa,Turkey,Beverages
Australia and Oceania,Solomon Islands,Snacks
Asia,North Korea,Fruits
Europe,Macedonia,Household
Australia and Oceania,Fiji,Beverages
Sub-Saharan Africa,Mauritius ,Fruits
Middle East and North Africa,Lebanon,Personal Care
Central America and the Caribbean,El Salvador,Beverages
Europe,Luxembourg,Baby Food
Europe,Montenegro,Clothes
Europe,Greece,Household
Middle East and North Africa,Yemen,Meat
Asia,Sri Lanka,Personal Care
Middle East and North Africa,Turkey,Personal Care
Australia and Oceania,Federated States of Micronesia,Clothes
Sub-Saharan Africa,Namibia,Office Supplies
Europe,Moldova ,Clothes
Sub-Saharan Africa,Benin,Baby Food
Europe,Georgia,Baby Food
Sub-Saharan Africa,Cape Verde,Baby Food
Sub-Saharan Africa,Guinea-Bissau,Clothes
Asia,Mongolia,Cosmetics
Australia and Oceania,Tuvalu,Clothes
Middle East and North Africa,United Arab Emirates,Meat
Central America and the Caribbean,Antigua and Barbuda ,Snacks
Sub-Saharan Africa,Zambia,Fruits
Middle East and North Africa,Yemen,Cosmetics
Australia and Oceania,Federated States of Micronesia,Cereal
Middle East and North Africa,Iran,Cereal
Central America and the Caribbean,Antigua and Barbuda ,Personal Care
Central America and the Caribbean,Dominica,Meat
Middle East and North Africa,Algeria,Baby Food
Asia,Japan,Beverages
Europe,Malta,Vegetables
Europe,Georgia,Snacks
Europe,Armenia,Office Supplies
Central America and the Caribbean,The Bahamas,Office Supplies
Sub-Saharan Africa,Zimbabwe,Clothes
Australia and Oceania,Samoa ,Personal Care
Sub-Saharan Africa,Ethiopia,Personal Care
Asia,Uzbekistan,Beverages
Europe,Norway,Beverages
Sub-Saharan Africa,Seychelles ,Snacks
Australia and Oceania,Federated States of Micronesia,Household
Middle East and North Africa,Iraq,Meat
Europe,Malta,Fruits
Europe,Luxembourg,Snacks
Europe,Belarus,Baby Food
Asia,Philippines,Office Supplies
Middle East and North Africa,Somalia,Beverages
Asia,Japan,Clothes
Middle East and North Africa,Jordan,Household
Europe,Austria,Baby Food
Europe,Croatia,Baby Food
Middle East and North Africa,Afghanistan,Beverages
Asia,Kazakhstan,Cereal
Middle East and North Africa,Bahrain,Vegetables
Asia,North Korea,Snacks
Asia,Vietnam,Meat
Middle East and North Africa,United Arab Emirates,Fruits
Asia,Turkmenistan,Household
Sub-Saharan Africa,Senegal,Household
Europe,Moldova ,Household
Middle East and North Africa,Tunisia ,Office Supplies
Central America and the Caribbean,El Salvador,Fruits
Asia,Turkmenistan,Household
Europe,Macedonia,Clothes
Europe,Luxembourg,Baby Food
Australia and Oceania,New Zealand,Vegetables
Europe,Armenia,Baby Food
Europe,Ukraine,Snacks
Middle East and North Africa,Azerbaijan,Baby Food
Central America and the Caribbean,Panama,Cereal
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages
Asia,Tajikistan,Fruits
Sub-Saharan Africa,Tanzania,Household
Asia,China,Household
Sub-Saharan Africa,Senegal,Clothes
Central America and the Caribbean,Saint Kitts and Nevis ,Cosmetics
Asia,China,Vegetables
North America,Canada,Office Supplies
Asia,Mongolia,Personal Care
Europe,Slovakia,Snacks
Australia and Oceania,Nauru,Cosmetics
Central America and the Caribbean,Belize,Meat
Sub-Saharan Africa,Mauritius ,Household
Asia,Malaysia,Vegetables
Asia,Nepal,Vegetables
North America,Mexico,Cereal
Europe,Portugal,Fruits
Sub-Saharan Africa,Lesotho,Cereal
Sub-Saharan Africa,Rwanda,Cosmetics
Sub-Saharan Africa,Sao Tome and Principe,Meat
Europe,Macedonia,Meat
Asia,Kazakhstan,Fruits
Central America and the Caribbean,Haiti,Clothes
Sub-Saharan Africa,Zambia,Beverages
Asia,Singapore,Clothes
Middle East and North Africa,Turkey,Beverages
Sub-Saharan Africa,Mauritania,Vegetables
Asia,Tajikistan,Meat
Sub-Saharan Africa,Zimbabwe,Cereal
Sub-Saharan Africa,Mauritius ,Office Supplies
Sub-Saharan Africa,Nigeria,Cosmetics
Sub-Saharan Africa,Tanzania,Meat
Middle East and North Africa,United Arab Emirates,Clothes
Asia,Vietnam,Baby Food
Asia,Sri Lanka,Meat
Central America and the Caribbean,Jamaica,Cosmetics
Central America and the Caribbean,Antigua and Barbuda ,Baby Food
Central America and the Caribbean,Saint Kitts and Nevis ,Snacks
Asia,China,Meat
Sub-Saharan Africa,Djibouti,Household
Middle East and North Africa,Jordan,Cereal
Sub-Saharan Africa,Comoros,Cereal
Australia and Oceania,Tonga,Office Supplies
Central America and the Caribbean,Honduras,Fruits
Central America and the Caribbean,Cuba,Cosmetics
Sub-Saharan Africa,The Gambia,Cereal
Europe,Lithuania,Meat
Sub-Saharan Africa,Burundi,Cosmetics
Asia,Turkmenistan,Office Supplies
Middle East and North Africa,Kuwait,Baby Food
Sub-Saharan Africa,Cameroon,Snacks
Europe,Finland,Household
Middle East and North Africa,Tunisia ,Cosmetics
Europe,Malta,Baby Food
Middle East and North Africa,Syria,Clothes
Australia and Oceania,Vanuatu,Snacks
Europe,Finland,Personal Care
Sub-Saharan Africa,Sao Tome and Principe,Office Supplies
Europe,Russia,Meat
Asia,North Korea,Beverages
Sub-Saharan Africa,Mauritania,Beverages
Sub-Saharan Africa,Swaziland,Vegetables
Sub-Saharan Africa,Lesotho,Cosmetics
Sub-Saharan Africa,Zimbabwe,Fruits
Asia,Malaysia,Vegetables
Australia and Oceania,Kiribati,Cereal
Central America and the Caribbean,Dominica,Cereal
Australia and Oceania,Vanuatu,Beverages
Europe,Ukraine,Cereal
Europe,Liechtenstein,Clothes
Europe,Armenia,Meat
Sub-Saharan Africa,Central African Republic,Fruits
Central America and the Caribbean,Barbados,Vegetables
Sub-Saharan Africa,Cameroon,Clothes
Europe,Armenia,Meat
Europe,Moldova ,Office Supplies
Central America and the Caribbean,Haiti,Office Supplies
Middle East and North Africa,Morocco,Cosmetics
Australia and Oceania,Tonga,Office Supplies
Central America and the Caribbean,Dominican Republic,Personal Care
Asia,Malaysia,Office Supplies
Europe,Hungary,Cosmetics
Sub-Saharan Africa,Malawi,Vegetables
Central America and the Caribbean,Dominican Republic,Cereal
Europe,France,Household
Central America and the Caribbean,Belize,Cereal
Asia,Uzbekistan,Household
Sub-Saharan Africa,Rwanda,Baby Food
Sub-Saharan Africa,Sao Tome and Principe,Vegetables
Middle East and North Africa,Oman,Cosmetics
Europe,Liechtenstein,Office Supplies
Sub-Saharan Africa,Ethiopia,Household
Australia and Oceania,Solomon Islands,Personal Care
Sub-Saharan Africa,Cote d'Ivoire,Meat
Australia and Oceania,Vanuatu,Baby Food
Sub-Saharan Africa,Chad,Fruits
Asia,Vietnam,Clothes
Europe,Slovenia,Office Supplies
Europe,Denmark,Meat
Asia,Turkmenistan,Baby Food
Sub-Saharan Africa,Ethiopia,Beverages
Australia and Oceania,East Timor,Baby Food
Sub-Saharan Africa,Mauritania,Fruits
Europe,Moldova ,Cereal
Middle East and North Africa,Lebanon,Office Supplies
Europe,Montenegro,Household
Sub-Saharan Africa,Nigeria,Vegetables
Asia,Bangladesh,Snacks
Sub-Saharan Africa,Zambia,Meat
Europe,Moldova ,Meat
Sub-Saharan Africa,Namibia,Cereal
Middle East and North Africa,United Arab Emirates,Fruits
Europe,Andorra,Fruits
Europe,Bulgaria,Household
Middle East and North Africa,Iraq,Household
Central America and the Caribbean,Haiti,Snacks
Sub-Saharan Africa,Comoros,Beverages
Europe,San Marino,Meat
Europe,Belgium,Fruits
Europe,Poland,Meat
Central America and the Caribbean,Honduras,Clothes
Europe,France,Fruits
Central America and the Caribbean,El Salvador,Cosmetics
Middle East and North Africa,Libya,Clothes
Europe,Lithuania,Cereal
Europe,Czech Republic,Baby Food
Europe,San Marino,Personal Care
Middle East and North Africa,United Arab Emirates,Personal Care
Europe,San Marino,Beverages
Sub-Saharan Africa,Mauritania,Baby Food
Europe,Finland,Clothes
Asia,Indonesia,Office Supplies
Middle East and North Africa,Syria,Personal Care
Middle East and North Africa,Pakistan,Personal Care
Central America and the Caribbean,Guatemala,Clothes
Australia and Oceania,East Timor,Fruits
Asia,Singapore,Vegetables
Australia and Oceania,Nauru,Snacks
Sub-Saharan Africa,Benin,Baby Food
Europe,France,Meat
Europe,Russia,Vegetables
Europe,Luxembourg,Cereal
Australia and Oceania,Kiribati,Personal Care
Sub-Saharan Africa,Central African Republic,Fruits
Sub-Saharan Africa,Ethiopia,Snacks
Asia,Brunei,Meat
Sub-Saharan Africa,Mozambique,Clothes
Europe,Latvia,Snacks
Europe,Finland,Baby Food
Middle East and North Africa,Algeria,Fruits
Sub-Saharan Africa,Cote d'Ivoire,Clothes
Sub-Saharan Africa,Nigeria,Vegetables
Central America and the Caribbean,Trinidad and Tobago,Cereal
Middle East and North Africa,Syria,Personal Care
Asia,South Korea,Clothes
Europe,Moldova ,Cereal
Asia,Philippines,Vegetables
Sub-Saharan Africa,Cape Verde,Clothes
Middle East and North Africa,Oman,Baby Food
Central America and the Caribbean,Dominica,Fruits
Asia,Mongolia,Beverages
Sub-Saharan Africa,Uganda,Baby Food
Central America and the Caribbean,Honduras,Clothes
Sub-Saharan Africa,Central African Republic,Cereal
Asia,Bangladesh,Cereal
Europe,Andorra,Office Supplies
Sub-Saharan Africa,Benin,Cosmetics
Middle East and North Africa,Jordan,Clothes
Europe,Albania,Baby Food
Middle East and North Africa,Qatar,Office Supplies
Sub-Saharan Africa,The Gambia,Office Supplies
Europe,Poland,Meat
Europe,Belgium,Baby Food
Middle East and North Africa,Bahrain,Baby Food
Europe,Croatia,Beverages
Sub-Saharan Africa,Uganda,Personal Care
Europe,Serbia,Cosmetics
Europe,Serbia,Personal Care
Sub-Saharan Africa,Djibouti,Household
Australia and Oceania,Federated States of Micronesia,Cosmetics
Middle East and North Africa,Saudi Arabia,Snacks
Central America and the Caribbean,El Salvador,Fruits
Europe,Macedonia,Baby Food
Australia and Oceania,Solomon Islands,Office Supplies
Australia and Oceania,New Zealand,Cosmetics
Sub-Saharan Africa,Zambia,Fruits
Sub-Saharan Africa,Kenya,Cereal
Europe,Malta,Clothes
Asia,Kyrgyzstan,Vegetables
Sub-Saharan Africa,Mozambique,Snacks
Middle East and North Africa,Qatar,Cosmetics
Sub-Saharan Africa,Botswana,Cosmetics
Australia and Oceania,Nauru,Household
Sub-Saharan Africa,Gabon,Cosmetics
Middle East and North Africa,Azerbaijan,Meat
Asia,Turkmenistan,Baby Food
Asia,India,Vegetables
Asia,Singapore,Personal Care
Australia and Oceania,Tuvalu,Fruits
Middle East and North Africa,Oman,Meat
Sub-Saharan Africa,Comoros,Meat
Europe,Andorra,Cosmetics
Asia,Tajikistan,Household
Europe,Denmark,Snacks
Europe,Kosovo,Office Supplies
Sub-Saharan Africa,Burkina Faso,Fruits
Australia and Oceania,Nauru,Baby Food
Sub-Saharan Africa,South Sudan,Cosmetics
Europe,Serbia,Vegetables
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages
Sub-Saharan Africa,Uganda,Vegetables
Middle East and North Africa,United Arab Emirates,Clothes
Europe,Latvia,Meat
Sub-Saharan Africa,Malawi,Meat
Europe,Iceland,Baby Food
Sub-Saharan Africa,Tanzania,Snacks
Europe,Vatican City,Baby Food
Europe,Estonia,Cosmetics
Sub-Saharan Africa,Guinea-Bissau,Fruits
Middle East and North Africa,Iraq,Household
Europe,Austria,Cosmetics
Sub-Saharan Africa,Cote d'Ivoire,Cosmetics
Europe,Spain,Cosmetics
Europe,United Kingdom,Office Supplies
Asia,Mongolia,Fruits
Europe,Iceland,Clothes
Australia and Oceania,Papua New Guinea,Cereal
Europe,Denmark,Vegetables
Europe,Czech Republic,Vegetables
Sub-Saharan Africa,Cape Verde,Baby Food
Central America and the Caribbean,Cuba,Fruits
Asia,Brunei,Personal Care
Europe,Luxembourg,Clothes
Asia,Myanmar,Fruits
Sub-Saharan Africa,Eritrea,Clothes
Australia and Oceania,Papua New Guinea,Office Supplies
Sub-Saharan Africa,Gabon,Household
Australia and Oceania,New Zealand,Clothes
Sub-Saharan Africa,Seychelles ,Snacks
Central America and the Caribbean,Haiti,Baby Food
Sub-Saharan Africa,Gabon,Vegetables
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care
Europe,France,Snacks
Europe,Finland,Household
Sub-Saharan Africa,Mauritius ,Beverages
Sub-Saharan Africa,Guinea-Bissau,Cereal
Central America and the Caribbean,Grenada,Snacks
Central America and the Caribbean,Belize,Personal Care
Europe,Germany,Household
North America,Canada,Office Supplies
Asia,India,Cosmetics
Sub-Saharan Africa,Central African Republic,Beverages
Sub-Saharan Africa,Kenya,Snacks
Europe,Kosovo,Snacks
Asia,Japan,Baby Food
Asia,Vietnam,Beverages
Europe,Serbia,Personal Care
Sub-Saharan Africa,The Gambia,Personal Care
Asia,Japan,Meat
Europe,Belarus,Snacks
Sub-Saharan Africa,Sudan,Cosmetics
Asia,North Korea,Clothes
Europe,Monaco,Baby Food
Central America and the Caribbean,Belize,Beverages
Europe,Iceland,Snacks
Sub-Saharan Africa,Angola,Household
Central America and the Caribbean,Panama,Personal Care
Europe,Iceland,Fruits
Europe,Iceland,Clothes
Asia,Bhutan,Personal Care
Asia,Indonesia,Personal Care
Asia,Sri Lanka,Cosmetics
Europe,Armenia,Cereal
Europe,Slovakia,Personal Care
Asia,North Korea,Cosmetics
Middle East and North Africa,Jordan,Beverages
Europe,Switzerland,Cosmetics
Europe,Ukraine,Baby Food
Asia,Myanmar,Meat
Asia,Brunei,Personal Care
Europe,Portugal,Cosmetics
Europe,Slovakia,Baby Food
Central America and the Caribbean,Antigua and Barbuda ,Beverages
Australia and Oceania,Tuvalu,Office Supplies
North America,Greenland,Vegetables
Sub-Saharan Africa,Mauritius ,Snacks
Sub-Saharan Africa,Rwanda,Personal Care
Europe,Vatican City,Clothes
Middle East and North Africa,Algeria,Clothes
Sub-Saharan Africa,Zambia,Household
Europe,Ireland,Household
Asia,China,Clothes
Sub-Saharan Africa,Chad,Snacks
Middle East and North Africa,Egypt,Snacks
Central America and the Caribbean,The Bahamas,Meat
Sub-Saharan Africa,Togo,Personal Care
Central America and the Caribbean,Guatemala,Household
Asia,Bhutan,Office Supplies
Sub-Saharan Africa,Lesotho,Fruits
North America,United States of America,Office Supplies
Middle East and North Africa,Yemen,Personal Care
Sub-Saharan Africa,Mauritius ,Household
Europe,Russia,Cereal
Europe,Ireland,Household
Asia,Mongolia,Household
Asia,China,Snacks
Asia,China,Fruits
Sub-Saharan Africa,Malawi,Office Supplies
Europe,Romania,Fruits
Asia,Cambodia,Cosmetics
Sub-Saharan Africa,Rwanda,Beverages
Middle East and North Africa,Pakistan,Snacks
Sub-Saharan Africa,Mozambique,Office Supplies
Middle East and North Africa,Morocco,Snacks
Europe,Estonia,Office Supplies
Asia,Kazakhstan,Fruits
Central America and the Caribbean,The Bahamas,Meat
Asia,Brunei,Cereal
Sub-Saharan Africa,Zimbabwe,Baby Food
Sub-Saharan Africa,Botswana,Beverages
Asia,Mongolia,Clothes
Sub-Saharan Africa,Namibia,Cereal
Australia and Oceania,Tonga,Household
Europe,United Kingdom,Beverages
Sub-Saharan Africa,Madagascar,Fruits
Asia,South Korea,Cosmetics
Australia and Oceania,Marshall Islands,Snacks
Australia and Oceania,Tonga,Meat
Asia,Singapore,Vegetables
Asia,Sri Lanka,Office Supplies
Middle East and North Africa,Libya,Household
Europe,Serbia,Beverages
Europe,Malta,Cosmetics
Europe,Latvia,Cereal
Middle East and North Africa,Iran,Vegetables
Europe,Luxembourg,Office Supplies
Middle East and North Africa,Afghanistan,Baby Food
Europe,Cyprus,Office Supplies
Middle East and North Africa,United Arab Emirates,Cereal
Middle East and North Africa,Iraq,Cosmetics
Sub-Saharan Africa,Cameroon,Cereal
Europe,Austria,Household
Sub-Saharan Africa,Seychelles ,Cosmetics
Middle East and North Africa,Kuwait,Office Supplies
Europe,Poland,Meat
Sub-Saharan Africa,Chad,Baby Food
Europe,Kosovo,Clothes
Sub-Saharan Africa,Seychelles ,Office Supplies
Sub-Saharan Africa,Sao Tome and Principe,Personal Care
Australia and Oceania,Samoa ,Household
Middle East and North Africa,Tunisia ,Cosmetics
Central America and the Caribbean,Dominican Republic,Vegetables
Europe,Andorra,Meat
Europe,Switzerland,Snacks
Sub-Saharan Africa,Sao Tome and Principe,Meat
Sub-Saharan Africa,Kenya,Vegetables
Middle East and North Africa,Algeria,Meat
Sub-Saharan Africa,Comoros,Clothes
Central America and the Caribbean,El Salvador,Baby Food
Sub-Saharan Africa,Rwanda,Clothes
Sub-Saharan Africa,South Africa,Snacks
Australia and Oceania,Tonga,Household
Sub-Saharan Africa,Tanzania,Beverages
Middle East and North Africa,Israel,Clothes
Sub-Saharan Africa,Rwanda,Household
Sub-Saharan Africa,Eritrea,Clothes
Middle East and North Africa,Afghanistan,Office Supplies
Middle East and North Africa,Libya,Meat
Europe,San Marino,Cosmetics
Europe,Italy,Fruits
Sub-Saharan Africa,Ghana,Clothes
Europe,Czech Republic,Vegetables
Middle East and North Africa,Iraq,Household
Europe,Cyprus,Office Supplies
Middle East and North Africa,Afghanistan,Cosmetics
Australia and Oceania,Kiribati,Vegetables
Europe,Georgia,Vegetables
Australia and Oceania,New Zealand,Office Supplies
Sub-Saharan Africa,Comoros,Beverages
Europe,Norway,Snacks
Europe,Liechtenstein,Office Supplies
Sub-Saharan Africa,Central African Republic,Meat
Sub-Saharan Africa,Senegal,Cereal
Europe,Albania,Baby Food
Sub-Saharan Africa,Eritrea,Cereal
Australia and Oceania,Nauru,Snacks
Australia and Oceania,Tonga,Baby Food
Sub-Saharan Africa,Mali,Cereal
Sub-Saharan Africa,Guinea,Personal Care
Asia,Thailand,Household
Europe,Ukraine,Beverages
Europe,Romania,Fruits
Sub-Saharan Africa,Togo,Cereal
Central America and the Caribbean,Jamaica,Fruits
Sub-Saharan Africa,Rwanda,Beverages
Central America and the Caribbean,Saint Vincent and the Grenadines,Snacks
North America,Canada,Beverages
Sub-Saharan Africa,Sao Tome and Principe,Clothes
Europe,Ireland,Fruits
Sub-Saharan Africa,Guinea-Bissau,Snacks
Asia,Malaysia,Cosmetics
Middle East and North Africa,Oman,Office Supplies
North America,Canada,Fruits
Middle East and North Africa,Saudi Arabia,Household
Australia and Oceania,Fiji,Cereal
Asia,Thailand,Meat
Sub-Saharan Africa,Central African Republic,Baby Food
Europe,Montenegro,Meat
Europe,Ukraine,Baby Food
Australia and Oceania,Solomon Islands,Cosmetics
Europe,Belarus,Snacks
Sub-Saharan Africa,Madagascar,Personal Care
Middle East and North Africa,Pakistan,Cereal
Middle East and North Africa,Jordan,Household
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages
Sub-Saharan Africa,Republic of the Congo,Baby Food
Europe,Russia,Office Supplies
Middle East and North Africa,Egypt,Cosmetics
Europe,Kosovo,Office Supplies
Central America and the Caribbean,Grenada,Cosmetics
Central America and the Caribbean,Trinidad and Tobago,Office Supplies
Europe,Bulgaria,Beverages
Sub-Saharan Africa,Central African Republic,Personal Care
Sub-Saharan Africa,Senegal,Cereal
Middle East and North Africa,Jordan,Cosmetics
Asia,India,Cosmetics
Asia,Kyrgyzstan,Clothes
Sub-Saharan Africa,Swaziland,Cosmetics
Europe,Serbia,Beverages
Sub-Saharan Africa,Cote d'Ivoire,Cereal
Sub-Saharan Africa,Sudan,Beverages
Asia,Singapore,Meat
Australia and Oceania,Fiji,Beverages
Sub-Saharan Africa,Mauritania,Beverages
Central America and the Caribbean,Barbados,Meat
Sub-Saharan Africa,Zambia,Office Supplies
Australia and Oceania,Federated States of Micronesia,Vegetables
Sub-Saharan Africa,Cameroon,Beverages
